row_s,col_s,row_e,col_e,duration,timestamp,car,distance
6,8,6,8,470.160000086,1399410848.1,040/ET682WT,68.7680832418
6,6,5,6,613.50999999,1399411031.85,179/ET821WT,1742.9464556
6,3,6,4,715.559999943,1399411257.02,108/ET750WT,2346.50704762
7,1,7,0,715.559999943,1399411277.43,051/ET693WT,763.935037701
5,3,4,3,654.309999943,1399411338.68,272/ET914WT,1239.1621226
4,5,4,6,817.829999924,1399411175.17,414/EV632NT,514.564115451
6,3,6,2,1063.24000001,1399411052.26,045/ET687WT,2948.06224577
4,4,2,5,1451.23000002,1399410705.09,055/ET697WT,4407.89219975
6,4,5,3,776.890000105,1399411461.29,314/EV501NT,2240.25231683
5,5,4,4,858.579999924,1399411461.29,088/ET730WT,2325.51840651
8,7,6,6,1349.29999995,1399410970.57,298/ET940WT,3578.09808406
7,7,4,6,1308.44000006,1399411031.85,263/ET905WT,6370.82768889
7,6,7,6,1022.02999997,1399411318.26,390/EV609NT,113.417266286
5,3,6,2,1553.50999999,1399410848.1,090/ET732WT,2308.454067
7,3,7,3,1512.70000005,1399410929.75,450/EV667NT,852.912836344
6,3,7,4,1021.98000002,1399411461.29,236/ET878WT,2204.52059648
5,3,2,4,1205.83999991,1399411277.43,172/ET814WT,7584.013235
7,6,8,6,735.799999952,1399411747.48,439/EV657NT,1415.96580275
3,4,5,2,1737.46000004,1399410868.51,043/ET685WT,5983.89812275
7,7,7,7,1778.35000014,1399410909.34,111/ET753WT,22.0818006761
5,6,4,4,1471.69000006,1399411216.0,221/ET863WT,3796.4992036
6,7,6,7,1512.54999995,1399411216.0,226/ET868WT,296.656815331
6,6,4,6,1267.10000014,1399411481.87,438/EV656NT,3499.50174929
6,3,6,5,1165.02999997,1399411686.19,047/ET689WT,2645.96668401
4,3,5,3,2166.57000017,1399410705.09,486/EV295TP,2023.76476467
6,4,7,4,1471.61999989,1399411440.88,072/ET714WT,2524.59728994
1,2,6,7,2084.80000019,1399410848.1,147/ET789WT,12164.1525234
6,5,6,5,1083.32000017,1399411849.59,467/EV304TP,1235.52622774
5,6,7,5,1819.03999996,1399411216.0,119/ET761WT,2704.88477418
7,4,4,2,1778.02999997,1399411277.43,144/ET786WT,6207.98251489
5,3,3,3,1818.87999988,1399411338.68,290/ET932WT,3509.47757566
7,6,7,6,2432.05999994,1399410725.5,334/EV504NT,471.554451503
3,3,3,3,1716.66999984,1399411440.89,396/EV615NT,543.350114578
5,4,8,3,1961.8499999,1399411277.43,485/EV322TP,6524.34900306
6,3,5,4,1880.15999985,1399411399.93,265/ET907WT,2327.99934044
6,1,6,1,1307.50999999,1399411972.58,387/EV606NT,1520.65937212
7,6,5,5,1327.92000008,1399411972.58,186/ET828WT,3591.02903543
6,6,4,7,1614.25,1399411747.48,157/ET799WT,5263.46717656
5,6,4,3,2656.68000007,1399410766.33,039/ET681WT,5290.01637075
5,4,7,3,755.730000019,1399412728.55,208/ET850WT,4424.92136395
6,6,7,6,2166.0,1399411338.68,183/ET825WT,1234.54548339
5,6,5,5,796.419999838,1399412789.91,190/ET832WT,1198.06319527
6,3,6,2,837.309999943,1399412769.5,153/ET795WT,1538.66215882
6,4,8,7,1593.39999986,1399412013.41,108/ET750WT,5876.51536323
5,3,5,1,959.960000038,1399412667.27,219/ET861WT,3621.82102576
5,2,5,2,2288.51999998,1399411399.93,237/ET879WT,647.607613407
6,3,6,2,1981.75,1399411849.59,295/ET937WT,1151.61219226
6,0,6,7,1613.55000019,1399412258.62,064/ET706WT,11220.7138962
4,6,6,7,1041.36000013,1399412830.81,414/EV632NT,3576.6449664
6,6,6,5,980.079999924,1399412973.73,298/ET940WT,1928.0121818
5,3,4,4,2124.67000008,1399411910.82,056/ET698WT,4385.06052352
6,8,4,6,1511.17999983,1399412565.13,222/ET864WT,3794.81599673
5,3,6,5,796.220000029,1399413280.09,486/EV295TP,2383.01022436
6,4,7,6,2083.34000015,1399412033.82,335/EV527NT,4959.45404825
